Date,Region,Product Category,Product Name,Sales Amount,Cost,Profit,Quantity Sold,Customer Segment
2023-09-10,East,Hardware,iPad Pro,9990,7500,2490,10,Enterprise
2023-05-20,South,Hardware,MacBook Pro,50000,40000,10000,25,Corporate
2023-09-20,East,Hardware,iPad Pro,10989,8250,2739,11,Enterprise
2023-12-29,West,Peripherals,Docking Station,7050,3760,3290,47,Small Business
2023-08-30,South,Peripherals,Wireless Mouse,2115,705,1410,47,Small Business
2023-06-20,South,Software,CRM License,1600,200,1400,2,Corporate
2023-09-16,West,Peripherals,4K Monitor,10850,6820,4030,31,Corporate
2023-02-12,East,Hardware,ThinkPad T14,10800,8100,2700,9,Enterprise
2023-03-02,South,Hardware,iPad Pro,28971,21750,7221,29,Small Business
2023-06-28,East,Software,Data Analytics Tool,39000,7800,31200,26,Enterprise
2023-11-19,North,Software,Data Analytics Tool,57000,11400,45600,38,Corporate
2023-12-12,North,Peripherals,Mechanical Keyboard,3960,1980,1980,33,Corporate
2023-12-13,North,Hardware,ThinkPad T14,3600,2700,900,3,Consumer
2023-03-12,East,Peripherals,4K Monitor,8050,5060,2990,23,Corporate
2023-12-27,East,Software,Antivirus Pack,960,160,800,16,Corporate
2023-03-04,West,Peripherals,Docking Station,1800,960,840,12,Consumer
2023-06-27,East,Hardware,ThinkPad T14,6000,4500,1500,5,Small Business
2023-09-27,West,Peripherals,Mechanical Keyboard,3120,1560,1560,26,Corporate
2023-09-24,South,Software,CRM License,27200,3400,23800,34,Corporate
2023-04-07,East,Software,CRM License,26400,3300,23100,33,Consumer
2023-08-22,South,Hardware,ThinkPad T14,54000,40500,13500,45,Corporate
2023-08-30,West,Peripherals,Mechanical Keyboard,2760,1380,1380,23,Small Business
2023-09-15,East,Software,Data Analytics Tool,4500,900,3600,3,Corporate
2023-06-06,South,Peripherals,Docking Station,1050,560,490,7,Small Business
2023-09-27,West,Software,CRM License,16000,2000,14000,20,Consumer
2023-01-01,East,Hardware,iPad Pro,36963,27750,9213,37,Corporate
2023-01-10,East,Hardware,ThinkPad T14,37200,27900,9300,31,Small Business
2023-02-01,East,Peripherals,4K Monitor,16800,10560,6240,48,Consumer
2023-02-08,North,Software,CRM License,17600,2200,15400,22,Small Business
2023-04-06,West,Hardware,MacBook Pro,86000,68800,17200,43,Consumer
2023-11-03,South,Peripherals,4K Monitor,14700,9240,5460,42,Small Business
2023-01-23,West,Software,Data Analytics Tool,24000,4800,19200,16,Consumer
2023-07-10,North,Software,Data Analytics Tool,66000,13200,52800,44,Enterprise
2023-06-21,North,Peripherals,Wireless Mouse,2205,735,1470,49,Small Business
2023-04-03,North,Software,Data Analytics Tool,21000,4200,16800,14,Enterprise
2023-02-15,North,Hardware,MacBook Pro,70000,56000,14000,35,Corporate
2023-01-31,South,Software,Antivirus Pack,1740,290,1450,29,Consumer
2023-05-27,South,Hardware,ThinkPad T14,38400,28800,9600,32,Consumer
2023-03-19,South,Software,Data Analytics Tool,18000,3600,14400,12,Consumer
2023-01-06,South,Hardware,ThinkPad T14,45600,34200,11400,38,Enterprise
2023-10-13,West,Hardware,ThinkPad T14,9600,7200,2400,8,Consumer
2023-06-09,East,Software,Data Analytics Tool,60000,12000,48000,40,Small Business
2023-12-02,West,Software,CRM License,24000,3000,21000,30,Consumer
2023-10-13,South,Peripherals,Docking Station,3900,2080,1820,26,Enterprise
2023-04-09,North,Hardware,iPad Pro,41958,31500,10458,42,Consumer
2023-03-21,East,Hardware,iPad Pro,35964,27000,8964,36,Corporate
2023-09-20,West,Peripherals,Wireless Mouse,990,330,660,22,Consumer
2023-05-16,East,Software,Cloud Storage,500,100,400,2,Enterprise
2023-03-09,West,Hardware,MacBook Pro,2000,1600,400,1,Corporate
2023-08-08,West,Software,CRM License,25600,3200,22400,32,Small Business
2023-07-29,South,Peripherals,4K Monitor,14350,9020,5330,41,Corporate
2023-08-03,West,Hardware,MacBook Pro,22000,17600,4400,11,Enterprise
2023-04-06,West,Hardware,ThinkPad T14,3600,2700,900,3,Small Business
2023-07-22,West,Hardware,ThinkPad T14,19200,14400,4800,16,Consumer
2023-09-21,West,Peripherals,Wireless Mouse,405,135,270,9,Corporate
2023-08-26,West,Hardware,iPad Pro,5994,4500,1494,6,Corporate
2023-06-18,East,Software,CRM License,32800,4100,28700,41,Consumer
2023-12-17,West,Peripherals,Docking Station,1650,880,770,11,Enterprise
2023-11-11,South,Software,CRM License,6400,800,5600,8,Consumer
2023-06-14,South,Software,Data Analytics Tool,25500,5100,20400,17,Consumer
2023-08-12,West,Software,Cloud Storage,9750,1950,7800,39,Small Business
2023-06-07,North,Software,Antivirus Pack,2280,380,1900,38,Small Business
2023-02-07,East,Peripherals,Docking Station,2700,1440,1260,18,Small Business
2023-04-06,West,Hardware,iPad Pro,14985,11250,3735,15,Consumer
2023-07-14,West,Software,Antivirus Pack,2640,440,2200,44,Small Business
2023-03-05,East,Peripherals,Docking Station,5400,2880,2520,36,Consumer
2023-12-16,South,Hardware,ThinkPad T14,4800,3600,1200,4,Small Business
2023-12-31,South,Hardware,ThinkPad T14,13200,9900,3300,11,Consumer
2023-01-31,North,Software,Cloud Storage,1750,350,1400,7,Enterprise
2023-06-18,East,Peripherals,Wireless Mouse,1845,615,1230,41,Corporate
2023-06-08,West,Software,CRM License,38400,4800,33600,48,Enterprise
2023-10-27,North,Software,Antivirus Pack,1980,330,1650,33,Corporate
2023-11-30,South,Hardware,iPad Pro,36963,27750,9213,37,Small Business
2023-12-11,West,Peripherals,4K Monitor,7350,4620,2730,21,Enterprise
2023-02-23,South,Software,Antivirus Pack,2100,350,1750,35,Corporate
2023-08-07,South,Hardware,Dell XPS 15,33000,24200,8800,22,Small Business
2023-01-21,West,Hardware,ThinkPad T14,36000,27000,9000,30,Corporate
2023-09-04,East,Hardware,Dell XPS 15,28500,20900,7600,19,Enterprise
2023-01-08,North,Hardware,ThinkPad T14,48000,36000,12000,40,Consumer
2023-12-24,West,Software,CRM License,9600,1200,8400,12,Consumer
2023-07-16,South,Software,Antivirus Pack,1320,220,1100,22,Small Business
2023-10-14,West,Hardware,Dell XPS 15,24000,17600,6400,16,Small Business
2023-12-18,East,Software,CRM License,30400,3800,26600,38,Corporate
2023-08-17,North,Software,Antivirus Pack,2520,420,2100,42,Enterprise
2023-02-10,East,Peripherals,Docking Station,7200,3840,3360,48,Enterprise
2023-12-22,South,Software,Cloud Storage,5750,1150,4600,23,Corporate
2023-04-16,North,Peripherals,Docking Station,2850,1520,1330,19,Small Business
2023-02-28,East,Peripherals,Docking Station,7050,3760,3290,47,Enterprise
2023-09-23,West,Software,Antivirus Pack,120,20,100,2,Small Business
2023-06-07,East,Software,Cloud Storage,2000,400,1600,8,Small Business
2023-07-23,West,Hardware,Dell XPS 15,12000,8800,3200,8,Consumer
2023-06-25,East,Software,Antivirus Pack,1680,280,1400,28,Consumer
2023-07-16,South,Peripherals,Docking Station,2550,1360,1190,17,Consumer
2023-05-08,East,Hardware,iPad Pro,12987,9750,3237,13,Corporate
2023-12-17,East,Software,CRM License,23200,2900,20300,29,Enterprise
2023-12-01,South,Hardware,ThinkPad T14,33600,25200,8400,28,Enterprise
2023-05-07,South,Software,Data Analytics Tool,16500,3300,13200,11,Enterprise
2023-09-08,North,Peripherals,4K Monitor,2800,1760,1040,8,Small Business
2023-11-17,North,Hardware,ThinkPad T14,19200,14400,4800,16,Corporate
2023-02-04,East,Peripherals,4K Monitor,8050,5060,2990,23,Corporate
2023-02-13,North,Peripherals,Docking Station,600,320,280,4,Small Business
2023-11-29,North,Software,CRM License,25600,3200,22400,32,Consumer
2023-03-17,South,Peripherals,Wireless Mouse,270,90,180,6,Small Business
2023-07-21,West,Hardware,MacBook Pro,76000,60800,15200,38,Small Business
2023-08-23,South,Software,Antivirus Pack,840,140,700,14,Small Business
2023-06-16,East,Peripherals,Mechanical Keyboard,2520,1260,1260,21,Small Business
2023-06-10,North,Software,Data Analytics Tool,6000,1200,4800,4,Consumer
2023-02-14,South,Peripherals,4K Monitor,5950,3740,2210,17,Consumer
2023-06-07,North,Software,Data Analytics Tool,10500,2100,8400,7,Consumer
2023-09-26,North,Hardware,MacBook Pro,92000,73600,18400,46,Consumer
2023-09-10,North,Peripherals,Docking Station,5400,2880,2520,36,Enterprise
2023-11-01,South,Hardware,Dell XPS 15,63000,46200,16800,42,Small Business
2023-01-07,West,Hardware,Dell XPS 15,4500,3300,1200,3,Enterprise
2023-07-16,East,Hardware,Dell XPS 15,42000,30800,11200,28,Small Business
2023-10-24,North,Software,Antivirus Pack,1680,280,1400,28,Small Business
2023-10-19,East,Software,CRM License,8800,1100,7700,11,Enterprise
2023-06-16,West,Hardware,ThinkPad T14,56400,42300,14100,47,Consumer
2023-09-09,North,Peripherals,Mechanical Keyboard,3720,1860,1860,31,Corporate
2023-04-07,North,Peripherals,4K Monitor,2100,1320,780,6,Small Business
2023-11-15,North,Peripherals,Wireless Mouse,1620,540,1080,36,Enterprise
2023-09-27,East,Hardware,MacBook Pro,86000,68800,17200,43,Small Business
2023-05-21,North,Software,Data Analytics Tool,49500,9900,39600,33,Consumer
2023-02-14,East,Hardware,iPad Pro,24975,18750,6225,25,Corporate
2023-12-21,West,Hardware,iPad Pro,9990,7500,2490,10,Corporate
2023-07-02,East,Hardware,ThinkPad T14,1200,900,300,1,Enterprise
2023-02-01,North,Software,CRM License,10400,1300,9100,13,Consumer
2023-12-26,South,Software,Data Analytics Tool,39000,7800,31200,26,Corporate
2023-02-16,West,Software,CRM License,25600,3200,22400,32,Corporate
2023-07-29,South,Software,Data Analytics Tool,39000,7800,31200,26,Small Business
2023-02-22,West,Software,Data Analytics Tool,58500,11700,46800,39,Corporate
2023-11-08,East,Software,Cloud Storage,8000,1600,6400,32,Small Business
2023-04-14,North,Peripherals,4K Monitor,11200,7040,4160,32,Consumer
2023-09-08,South,Software,Data Analytics Tool,18000,3600,14400,12,Small Business
2023-11-09,North,Software,Antivirus Pack,960,160,800,16,Consumer
2023-01-02,South,Software,Antivirus Pack,2580,430,2150,43,Small Business
2023-11-12,East,Peripherals,Mechanical Keyboard,4800,2400,2400,40,Corporate
2023-06-20,West,Hardware,Dell XPS 15,3000,2200,800,2,Corporate
2023-11-08,South,Software,CRM License,20800,2600,18200,26,Small Business
2023-10-18,East,Hardware,iPad Pro,3996,3000,996,4,Corporate
2023-03-29,South,Peripherals,Wireless Mouse,270,90,180,6,Consumer
2023-08-24,North,Hardware,MacBook Pro,96000,76800,19200,48,Small Business
2023-02-26,North,Hardware,iPad Pro,18981,14250,4731,19,Enterprise
2023-05-15,East,Peripherals,Docking Station,4350,2320,2030,29,Corporate
2023-05-06,East,Peripherals,4K Monitor,16100,10120,5980,46,Enterprise
2023-04-20,North,Hardware,MacBook Pro,78000,62400,15600,39,Consumer
2023-10-05,East,Software,Data Analytics Tool,66000,13200,52800,44,Enterprise
2023-06-13,South,Software,CRM License,9600,1200,8400,12,Small Business
2024-01-01,South,Hardware,Dell XPS 15,15000,11000,4000,10,Enterprise
2023-08-02,East,Software,Cloud Storage,6500,1300,5200,26,Enterprise
2023-05-02,East,Software,CRM License,34400,4300,30100,43,Corporate
2023-06-22,South,Hardware,MacBook Pro,70000,56000,14000,35,Consumer
2023-05-18,North,Peripherals,Mechanical Keyboard,5040,2520,2520,42,Small Business
2023-07-17,North,Peripherals,Wireless Mouse,2115,705,1410,47,Small Business
2023-09-12,North,Hardware,Dell XPS 15,16500,12100,4400,11,Corporate
2023-02-20,North,Peripherals,Docking Station,4200,2240,1960,28,Small Business
2023-02-07,West,Peripherals,4K Monitor,10150,6380,3770,29,Enterprise
2023-05-23,South,Software,Data Analytics Tool,45000,9000,36000,30,Consumer
2023-11-08,West,Hardware,MacBook Pro,60000,48000,12000,30,Enterprise
2023-07-26,North,Peripherals,Wireless Mouse,1755,585,1170,39,Enterprise
2023-09-26,South,Hardware,ThinkPad T14,57600,43200,14400,48,Enterprise
2023-10-14,West,Peripherals,Docking Station,1050,560,490,7,Corporate
2023-04-27,North,Peripherals,Mechanical Keyboard,2400,1200,1200,20,Enterprise
2023-04-07,North,Peripherals,Wireless Mouse,1260,420,840,28,Corporate
2023-01-18,West,Hardware,iPad Pro,47952,36000,11952,48,Corporate
2023-09-13,North,Peripherals,Docking Station,7200,3840,3360,48,Corporate
2023-07-17,West,Software,CRM License,33600,4200,29400,42,Enterprise
2023-06-26,East,Software,Data Analytics Tool,72000,14400,57600,48,Enterprise
2023-05-14,North,Software,CRM License,15200,1900,13300,19,Corporate
2023-07-26,East,Peripherals,Mechanical Keyboard,240,120,120,2,Corporate
2023-05-18,West,Hardware,iPad Pro,29970,22500,7470,30,Small Business
2023-02-01,East,Peripherals,Docking Station,3300,1760,1540,22,Corporate
2023-02-17,North,Software,Data Analytics Tool,55500,11100,44400,37,Consumer
2023-08-29,East,Peripherals,Mechanical Keyboard,3000,1500,1500,25,Consumer
2023-03-14,South,Hardware,iPad Pro,18981,14250,4731,19,Enterprise
2023-08-22,West,Software,Cloud Storage,5250,1050,4200,21,Corporate
2023-11-15,East,Hardware,Dell XPS 15,45000,33000,12000,30,Small Business
2023-04-13,South,Hardware,MacBook Pro,2000,1600,400,1,Small Business
2023-10-29,North,Software,Antivirus Pack,300,50,250,5,Corporate
2023-03-21,East,Software,Data Analytics Tool,4500,900,3600,3,Consumer
2023-02-25,East,Software,Data Analytics Tool,36000,7200,28800,24,Enterprise
2023-10-02,East,Software,Data Analytics Tool,58500,11700,46800,39,Small Business
2023-11-27,North,Hardware,iPad Pro,12987,9750,3237,13,Consumer
2023-10-08,South,Software,Cloud Storage,3000,600,2400,12,Enterprise
2023-01-18,East,Software,Antivirus Pack,720,120,600,12,Consumer
2023-06-28,West,Peripherals,Docking Station,3150,1680,1470,21,Corporate
2023-04-18,North,Software,CRM License,20800,2600,18200,26,Small Business
2023-02-22,South,Hardware,Dell XPS 15,7500,5500,2000,5,Enterprise
2023-08-20,South,Peripherals,4K Monitor,12950,8140,4810,37,Corporate
2023-11-19,West,Hardware,iPad Pro,40959,30750,10209,41,Consumer
2023-08-04,West,Hardware,Dell XPS 15,42000,30800,11200,28,Corporate
2023-02-09,South,Peripherals,Wireless Mouse,2205,735,1470,49,Enterprise
2023-06-19,South,Software,Cloud Storage,6750,1350,5400,27,Corporate
2023-07-29,South,Hardware,iPad Pro,6993,5250,1743,7,Enterprise
2023-08-12,West,Peripherals,Wireless Mouse,180,60,120,4,Small Business
2023-02-08,East,Software,CRM License,8800,1100,7700,11,Enterprise
2023-01-03,South,Hardware,iPad Pro,17982,13500,4482,18,Corporate
2023-02-05,North,Hardware,ThinkPad T14,36000,27000,9000,30,Corporate
2023-02-06,West,Hardware,Dell XPS 15,28500,20900,7600,19,Corporate
2023-11-19,South,Software,Antivirus Pack,480,80,400,8,Enterprise
2023-06-21,North,Hardware,ThinkPad T14,45600,34200,11400,38,Corporate
2023-09-20,South,Peripherals,4K Monitor,350,220,130,1,Corporate
2023-05-23,East,Hardware,ThinkPad T14,40800,30600,10200,34,Enterprise
2023-06-12,South,Hardware,MacBook Pro,26000,20800,5200,13,Small Business
2023-11-29,East,Hardware,Dell XPS 15,48000,35200,12800,32,Enterprise
2023-10-05,North,Software,Data Analytics Tool,58500,11700,46800,39,Enterprise
2023-09-13,West,Hardware,iPad Pro,38961,29250,9711,39,Consumer
2023-04-30,North,Peripherals,Mechanical Keyboard,1440,720,720,12,Small Business
2023-05-01,West,Software,Cloud Storage,7500,1500,6000,30,Small Business
2023-03-14,West,Peripherals,Mechanical Keyboard,720,360,360,6,Enterprise
2023-11-01,North,Software,Antivirus Pack,480,80,400,8,Enterprise
2023-02-12,North,Hardware,Dell XPS 15,60000,44000,16000,40,Consumer
2023-11-23,East,Peripherals,Wireless Mouse,900,300,600,20,Small Business
2023-06-17,West,Hardware,iPad Pro,2997,2250,747,3,Small Business
2023-07-27,South,Software,Cloud Storage,12500,2500,10000,50,Consumer
2023-02-10,East,Software,Data Analytics Tool,51000,10200,40800,34,Consumer
2023-08-30,West,Hardware,iPad Pro,31968,24000,7968,32,Small Business
2023-11-06,East,Hardware,ThinkPad T14,19200,14400,4800,16,Enterprise
2023-03-14,East,Software,Antivirus Pack,2340,390,1950,39,Enterprise
2023-12-30,North,Peripherals,Mechanical Keyboard,4920,2460,2460,41,Enterprise
2023-07-20,West,Peripherals,Docking Station,1650,880,770,11,Consumer
2023-09-20,East,Hardware,Dell XPS 15,4500,3300,1200,3,Small Business
2023-02-22,East,Peripherals,Mechanical Keyboard,4920,2460,2460,41,Small Business
2023-04-24,North,Software,Antivirus Pack,720,120,600,12,Consumer
2023-09-20,East,Hardware,iPad Pro,7992,6000,1992,8,Corporate
2023-01-25,North,Software,Antivirus Pack,2220,370,1850,37,Corporate
2023-11-21,North,Software,Cloud Storage,3750,750,3000,15,Enterprise
2023-07-21,West,Peripherals,Wireless Mouse,720,240,480,16,Enterprise
2023-03-03,North,Software,Data Analytics Tool,61500,12300,49200,41,Small Business
2023-02-02,West,Peripherals,4K Monitor,4200,2640,1560,12,Corporate
2023-03-01,East,Software,Antivirus Pack,1860,310,1550,31,Enterprise
2023-04-09,South,Peripherals,Mechanical Keyboard,5040,2520,2520,42,Enterprise
2023-11-25,South,Hardware,iPad Pro,40959,30750,10209,41,Corporate
2023-08-13,North,Hardware,Dell XPS 15,51000,37400,13600,34,Corporate
2023-01-20,North,Peripherals,Docking Station,1650,880,770,11,Small Business
2023-09-06,West,Peripherals,4K Monitor,16100,10120,5980,46,Consumer
2023-08-08,North,Hardware,iPad Pro,12987,9750,3237,13,Corporate
2023-10-02,South,Software,Data Analytics Tool,51000,10200,40800,34,Small Business
2023-09-09,South,Peripherals,Wireless Mouse,45,15,30,1,Consumer
2023-08-30,South,Software,Data Analytics Tool,1500,300,1200,1,Enterprise
2023-11-04,East,Hardware,iPad Pro,10989,8250,2739,11,Small Business
2023-02-09,West,Hardware,iPad Pro,43956,33000,10956,44,Consumer
2023-01-01,West,Peripherals,Docking Station,1650,880,770,11,Corporate
2023-09-18,East,Peripherals,Wireless Mouse,2205,735,1470,49,Small Business
2023-04-06,West,Hardware,Dell XPS 15,22500,16500,6000,15,Enterprise
2023-11-18,South,Software,Antivirus Pack,360,60,300,6,Small Business
2023-02-20,South,Software,CRM License,16800,2100,14700,21,Enterprise
2023-02-18,East,Peripherals,4K Monitor,11200,7040,4160,32,Corporate
2023-06-11,South,Software,CRM License,19200,2400,16800,24,Enterprise
2023-12-20,North,Hardware,iPad Pro,18981,14250,4731,19,Enterprise
2023-08-18,North,Peripherals,4K Monitor,16100,10120,5980,46,Consumer
2023-11-18,East,Hardware,Dell XPS 15,46500,34100,12400,31,Enterprise
2023-09-27,North,Hardware,ThinkPad T14,38400,28800,9600,32,Enterprise
2023-05-13,East,Software,Antivirus Pack,2520,420,2100,42,Small Business
2023-07-06,North,Hardware,ThinkPad T14,1200,900,300,1,Consumer
2023-06-02,East,Software,Antivirus Pack,2340,390,1950,39,Small Business
2023-05-02,West,Peripherals,Docking Station,150,80,70,1,Corporate
2023-11-11,East,Hardware,Dell XPS 15,73500,53900,19600,49,Consumer
2023-03-21,South,Software,Antivirus Pack,1560,260,1300,26,Consumer
2023-09-02,South,Peripherals,Docking Station,6300,3360,2940,42,Consumer
2023-11-18,West,Software,CRM License,16800,2100,14700,21,Corporate
2023-12-08,East,Peripherals,Docking Station,4800,2560,2240,32,Corporate
2023-03-30,West,Hardware,MacBook Pro,54000,43200,10800,27,Consumer
2023-10-14,North,Peripherals,Mechanical Keyboard,480,240,240,4,Consumer
2023-03-05,West,Peripherals,4K Monitor,9100,5720,3380,26,Corporate
2023-09-30,East,Software,CRM License,21600,2700,18900,27,Corporate
2023-10-30,North,Hardware,Dell XPS 15,60000,44000,16000,40,Small Business
2023-04-12,East,Hardware,ThinkPad T14,45600,34200,11400,38,Consumer
2023-01-03,East,Software,Data Analytics Tool,27000,5400,21600,18,Consumer
2023-01-12,West,Hardware,MacBook Pro,52000,41600,10400,26,Enterprise
2023-09-17,West,Peripherals,Docking Station,7200,3840,3360,48,Corporate
2023-09-07,East,Software,Cloud Storage,8500,1700,6800,34,Consumer
2023-03-19,South,Hardware,iPad Pro,18981,14250,4731,19,Enterprise
2023-10-23,East,Software,Antivirus Pack,360,60,300,6,Small Business
2023-09-28,West,Hardware,MacBook Pro,54000,43200,10800,27,Small Business
2023-12-23,East,Software,Cloud Storage,12250,2450,9800,49,Consumer
2023-04-12,East,Software,CRM License,2400,300,2100,3,Consumer
2023-05-09,South,Peripherals,4K Monitor,12950,8140,4810,37,Enterprise
2023-03-01,East,Hardware,Dell XPS 15,51000,37400,13600,34,Consumer
2023-07-03,South,Peripherals,Mechanical Keyboard,1320,660,660,11,Enterprise
2023-01-01,West,Software,Cloud Storage,12000,2400,9600,48,Consumer
2023-11-08,East,Hardware,MacBook Pro,16000,12800,3200,8,Small Business
2023-05-21,West,Software,CRM License,34400,4300,30100,43,Corporate
2023-10-29,North,Software,CRM License,38400,4800,33600,48,Small Business
2023-03-28,West,Peripherals,Mechanical Keyboard,2280,1140,1140,19,Small Business
2023-01-01,North,Software,Data Analytics Tool,34500,6900,27600,23,Corporate
2023-08-30,North,Hardware,ThinkPad T14,27600,20700,6900,23,Consumer
2023-03-27,South,Hardware,Dell XPS 15,75000,55000,20000,50,Corporate
2023-07-22,East,Peripherals,4K Monitor,6300,3960,2340,18,Consumer
2023-08-15,South,Peripherals,Wireless Mouse,990,330,660,22,Enterprise
2023-12-10,North,Software,Cloud Storage,11500,2300,9200,46,Corporate
2023-11-27,South,Software,Data Analytics Tool,28500,5700,22800,19,Corporate
2023-11-19,North,Software,CRM License,800,100,700,1,Consumer
2023-05-27,West,Software,Cloud Storage,12000,2400,9600,48,Small Business
2023-09-09,North,Hardware,Dell XPS 15,18000,13200,4800,12,Consumer
2023-04-03,West,Software,Data Analytics Tool,69000,13800,55200,46,Corporate
2023-07-08,South,Hardware,Dell XPS 15,64500,47300,17200,43,Enterprise
2023-08-15,West,Peripherals,Docking Station,4950,2640,2310,33,Consumer
2023-09-25,South,Peripherals,4K Monitor,12950,8140,4810,37,Corporate
2023-12-17,East,Hardware,ThinkPad T14,36000,27000,9000,30,Small Business
2023-07-12,North,Software,Antivirus Pack,2940,490,2450,49,Corporate
2023-08-26,East,Hardware,iPad Pro,18981,14250,4731,19,Corporate
2023-03-22,North,Peripherals,Docking Station,2700,1440,1260,18,Small Business
2023-09-17,West,Software,CRM License,9600,1200,8400,12,Corporate
2023-07-30,West,Peripherals,4K Monitor,5250,3300,1950,15,Consumer
2023-08-13,West,Peripherals,4K Monitor,1400,880,520,4,Small Business
2023-05-23,South,Hardware,iPad Pro,9990,7500,2490,10,Corporate
2023-12-30,East,Hardware,iPad Pro,15984,12000,3984,16,Enterprise
2023-06-22,North,Software,Cloud Storage,3000,600,2400,12,Consumer
2023-07-29,West,Hardware,Dell XPS 15,54000,39600,14400,36,Small Business
2023-02-04,East,Peripherals,Docking Station,150,80,70,1,Enterprise
2023-08-02,North,Software,Antivirus Pack,1680,280,1400,28,Consumer
2023-03-16,West,Peripherals,Wireless Mouse,720,240,480,16,Consumer
2023-08-03,South,Hardware,ThinkPad T14,42000,31500,10500,35,Small Business
2023-11-23,East,Peripherals,Wireless Mouse,1215,405,810,27,Small Business
2024-01-01,North,Peripherals,Mechanical Keyboard,2040,1020,1020,17,Corporate
2023-05-20,North,Hardware,MacBook Pro,88000,70400,17600,44,Corporate
2023-10-25,South,Peripherals,Docking Station,300,160,140,2,Small Business
2023-03-05,South,Software,Cloud Storage,1750,350,1400,7,Corporate
2023-04-12,South,Software,Data Analytics Tool,21000,4200,16800,14,Small Business
2023-06-02,South,Software,Antivirus Pack,1920,320,1600,32,Consumer
2023-01-29,East,Software,CRM License,800,100,700,1,Consumer
2023-10-11,North,Software,CRM License,4800,600,4200,6,Enterprise
